Date,Close,High,Low,Open,Volume,daily_return
,AAPL,AAPL,AAPL,AAPL,AAPL,
2026-03-26,252.43951416015625,256.5421934269488,250.32329549316128,251.67088153367666,41796700,0.001068847476965784
2026-03-27,248.35679626464844,255.03488128462607,247.6281009352486,253.4477020992108,47900000,-0.016173054004998577
2026-03-30,246.19065856933594,250.4230956915925,245.07264337813007,249.62453299565456,39446200,-0.008721878071757172
2026-03-31,253.337890625,255.02488248828539,246.65982101631488,247.46837564153284,49598100,0.029031288584213888
2026-04-01,255.17462158203125,255.7236296181179,252.8787157917901,253.62737973002484,40059400,0.007250123353044202
2026-04-02,255.464111328125,255.6737439434535,250.20349485503914,253.74717405681358,31289400,0.0011344770271390914
2026-04-06,258.3988342285156,261.6929736576745,256.003115847535,256.053045051996,29329900,0.011487808933839494
2026-04-07,253.0484161376953,255.7436185540334,245.2623079794448,255.70368128016966,62148000,-0.02070604577917201
2026-04-08,258.43878173828125,259.2872736156141,256.0730086009651,257.98960165960847,41032800,0.02130171641798695
2026-04-09,260.02593994140625,260.65482250105316,255.6138310165902,258.5386040524215,28121600,0.00614133139171158
2026-04-10,260.0159912109375,261.7229364827484,258.5585701252562,259.5168819122501,31291500,-3.8260530741629495e-05
2026-04-13,258.73828125,259.71651601158027,256.2027973984465,259.2673359057164,36234700,-0.004913966848681062
2026-04-14,258.368896484375,261.4633801130582,256.73183388682423,258.78816168339415,48370700,-0.0014276386309766131
2026-04-15,265.95538330078125,266.08515659729386,257.35074355126085,257.7001261657452,49913500,0.02936300351797594
2026-04-16,262.9307556152344,266.6840670491935,260.804545264895,266.3246925362851,43323100,-0.011372688335946068
2026-04-17,269.7486267089844,271.8149160854778,266.24486962975914,266.4844323486072,61436200,0.02593029133391722
2026-04-20,272.5635681152344,273.7913879220191,269.80850557942483,269.84841238867654,36590200,0.010435424419368289
2026-04-21,265.69586181640625,272.3140256362382,264.9272139873882,271.0163536236942,50209800,-0.025196714096157535
2026-04-22,272.68341064453125,273.2523721409737,266.39461467279705,267.3429346055621,43249200,0.026299050276339386
2026-04-23,272.9429016113281,275.2787294551341,271.1660737405759,274.56001085217736,33399600,0.0009516199250387825
2026-04-24,270.5771179199219,272.5735550213531,269.16962610782736,272.2741016414235,38157100,-0.008667687188198547
2026-04-27,267.1332702636719,267.88193422863776,264.59781690250213,265.6159889280984,41466800,-0.012727786010601316
2026-04-28,270.2277526855469,272.7432830913257,268.181416710472,271.8548539018017,40018900,0.011584039752220443
2026-04-29,269.688720703125,270.55716597281076,266.56429174844374,267.07336249706583,30047900,-0.001994732136373578
2026-04-30,270.86663818359375,275.50834883767226,267.6623648300734,270.018146234023,91848200,0.0043676927881808325
2026-05-01,279.6409606933594,286.7083346607987,277.87409435408995,278.36321169794013,79915400,0.03239351501021104
2026-05-04,276.33685302734375,280.13010214166496,274.3703610857382,279.16182884121525,46668400,-0.0118155353844559
2026-05-05,283.67376708984375,284.0630869835518,276.00745521106614,276.43668191704,49311700,0.026550617415383337
2026-05-06,286.9978332519531,287.5168959460148,280.5693031693742,281.4177950537395,58336100,0.011717918777652159
2026-05-07,286.9279479980469,291.60959552514373,285.2709015174152,288.75467457606095,45224300,-0.0002435044652232543
2026-05-08,292.7974853515625,294.2349225642168,289.48339230776435,289.49338424193445,52692800,0.020456485310924144
2026-05-11,292.42779541015625,293.6267735875138,289.979924827367,291.72841688276577,42247300,-0.0012626131025762488
2026-05-12,294.54595947265625,295.0155556946294,292.3078994315659,292.3078994315659,45748100,0.007243374589372076
2026-05-13,298.6124572753906,300.6607090744109,293.24708951115105,293.24708951115105,52684300,0.013805987391627639
2026-05-14,297.9530334472656,300.1911240450107,295.12548538387824,299.5616620172475,35324900,-0.002208293097152536
2026-05-15,299.9713134765625,302.93875555297063,296.26448829773227,297.643304079477,54862800,0.006773819369938039
2026-05-18,297.5833435058594,300.4009207908792,294.6558756451712,299.98126929450746,34483000,-0.007960661114649215
2026-05-19,298.7123718261719,300.2510533099592,296.09463441963413,296.7140952726279,42243600,0.0037939903054091673
2026-05-20,301.98956298828125,302.5390768782648,297.82314269813475,297.9230626302997,38229800,0.010971059357449242
2026-05-21,304.7271728515625,305.27671719779084,300.1411318265125,300.80056674721834,42965100,0.00906524661379593
2026-05-22,308.55389404296875,311.13165741506583,305.57645096183757,305.85620846339293,43670200,0.012557860054279724
2026-05-26,308.0643005371094,311.5513139598484,307.4048960873393,309.29325163060713,48000500,-0.001586735786880733
2026-05-27,310.5821533203125,312.9900803339556,308.0343323058515,308.0643052358437,50430900,0.008173140408717527
2026-05-28,312.24072265625,312.5304508120942,309.30325358892543,310.412282475935,48220400,0.00534019523725493
2026-05-29,311.7911071777344,314.7285763294451,309.2632884033746,311.5113496628706,70026800,-0.0014399642515899869
2026-06-01,306.0460510253906,310.67206624496237,304.7571540774977,309.363197507879,48849900,-0.01842597822736758
2026-06-02,314.92840576171875,315.1781903378333,306.42572903356995,307.1950545511415,44534700,0.029022935295418106
